State,"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program
"South Carolina
(33.99882060100049, -81.04536765699964)",63,3.5,25,36200,3,492,49,24,111,State
"West Virginia
(38.665511497000466, -80.71263935099967)",49,6.9,46,19800,4.1,1798,27,7,173,Federal
"Massachusetts
(42.27687306500047, -72.08268985899963)",44,1.4,1,69700,3.1,1929,21,33,123,Federal
"Tennessee
(35.680943063000484, -85.77448642199965)",101,3.8,30,65100,3.5,727,45,30,82,State
"Oklahoma
(35.472034350000456, -97.52106845499969)",97,6.1,42,39000,3.6,1872,24,19,131,Federal
"Illinois
(40.48501278700047, -88.99770813999965)",146,2.5,10,124900,3.2,1876,23,74,137,Federal
"Nebraska
(41.64104043900045, -99.36571864599966)",48,5.2,38,24300,3.9,2565,5,9,128,Federal
"Delaware
(39.00883351400046, -75.57773943699965)",14,3.1,18,7900,2.8,2406,6,5,175,Federal
"Hawaii
(21.30485166200043, -157.85774691599974)",20,3.4,22,13700,3.8,964,39,20,79,State
"Iowa
(42.469404401000475, -93.81648936699969)",97,6.6,44,45600,4.5,790,43,26,98,State
"Arizona
(34.865973091000455, -111.76380949799972)",60,2.3,6,54400,3.2,891,40,30,126,State
"Florida
(28.932042899000464, -81.92895558499964)",218,2.7,15,,,1821,25,60,238,Federal
"Virginia
(37.54268075100049, -78.45788924199968)",149,3.8,30,66200,2.7,726,46,48,82,State
"Missouri
(38.63579372300046, -92.56629737199967)",88,3.3,21,60300,3.3,1931,20,26,118,Federal
"Michigan
(44.66131575600048, -84.71438724399968)",137,3.4,22,105500,4,542,48,63,45,State
"Indiana
(39.76691364600049, -86.14995579899966)",115,4.2,33,77900,3.9,1054,34,39,104,State
"North Carolina
(35.46622388600048, -79.15924924699965)",146,3.5,25,75900,2.9,996,38,104,60,State
"New Hampshire
(43.6559537330005, -71.50035726399966)",14,2.2,4,,,2243,8,7,119,Federal
"New Mexico
(34.52088247800049, -106.24057768899968)",39,4.8,35,19900,3.9,998,37,9,191,State
"Pennsylvania
(40.79373106100047, -77.86069775999965)",194,3.4,22,155300,3.9,1916,22,57,125,Federal
"South Dakota
(44.35313342000046, -100.37352811899967)",31,6.7,45,,,2346,7,,521,Federal
"New York
(42.82700023900048, -75.54396639699968)",202,2.4,8,146300,2.5,2016,17,105,184,Federal
"Utah
(39.36070374600047, -111.5871285339997)",39,3,17,27700,3.4,1053,35,22,81,State
"Maine
(45.254228663000504, -68.98502952999962)",19,3.2,20,21200,5.6,2083,14,8,80,Federal
"Montana
(47.066526051000494, -109.42441687999968)",34,7.3,47,13300,5,1983,18,7,135,Federal
"Vermont
(43.62538292400046, -72.51763944499965)",11,3.5,25,9900,5,1008,36,9,68,State
"Arkansas
(34.748651751000466, -92.27448794899965)",63,5.4,39,26600,3.2,2569,4,9,237,Federal
"Nevada
(39.49324126500045, -117.07183978499972)",42,3.6,29,32400,4.1,2133,13,44,49,State
"Kentucky
(37.645973909000475, -84.77496612599964)",91,4.9,37,48900,4.1,3254,2,39,124,State
"Maryland
(39.2905806980005, -76.60925970899967)",72,2.6,12,51900,3.1,685,47,48,108,State
"Alabama
(32.84057327200048, -86.63185803899967)",84,4.3,34,41200,3.3,1803,26,24,94,Federal
"Connecticut
(41.56266394200048, -72.64983753699966)",36,2.1,3,43800,3.9,1735,30,24,107,Federal
"Oregon
(44.567446178000466, -120.15502977999972)",43,2.6,12,42900,3.9,363,50,75,31,State
"Colorado
(38.84384047000049, -106.13360888799969)",82,3.5,25,,,1649,31,28,122,Federal
"Ohio
(40.06021029700048, -82.40425685299965)",161,3.1,18,113600,3.2,2156,11,53,112,Federal
"Wyoming
(43.23554147100049, -108.10982744299969)",35,12.2,49,6500,3.5,1777,28,9,101,State
"Minnesota
(46.35564867700049, -94.79419697699967)",70,2.6,12,67500,3.8,768,44,58,57,State
"Kansas
(38.34774033400049, -98.20077655499966)",76,5.7,41,33400,3.6,1971,19,16,110,Federal
"Idaho
(43.682630058000484, -114.3637261449997)",19,2.7,15,,,1449,33,9,108,Federal
"Washington
(47.522287905000496, -120.47002746299972)",67,2.2,4,89300,4.8,791,42,111,50,State
"Wisconsin
(44.3931903350005, -89.81636715299965)",114,4,32,72900,4,2207,9,36,104,Federal
"Mississippi
(32.74551123200047, -89.53802764499966)",63,5.5,40,,,1515,32,14,112,Federal
"Louisiana
(31.312662564000448, -92.44567554599968)",116,6.4,43,30600,2.3,1765,29,16,206,Federal
"Georgia
(32.83968004200045, -83.62757601199968)",101,2.5,10,74800,2.8,2061,15,49,138,Federal
"Rhode Island
(41.70828281900049, -71.52246918099962)",8,1.7,2,,,2023,16,7,103,Federal
"Alaska
(64.84507923900048, -147.72205669099972)",31,8.9,48,9700,4.6,889,41,11,58,State
"New Jersey
(40.1305700530005, -74.27368565099965)",92,2.4,8,80900,3.1,2151,12,67,123,Federal
"North Dakota
(47.47531738700047, -100.11842599699969)",65,17.7,50,,,3045,3,8,111,Federal
"Texas
(31.827243635000457, -99.4267664729997)",536,4.8,35,203200,2.7,2187,10,98,136,Federal
"California
(37.638640488000476, -120.99999889499969)",375,2.3,6,345400,3.5,6422,1,216,179,State
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Total or National, Average",4628,3.4,,,3.4,,,,,
